Nikki Young,4125849,19-07-2000,1,27,91,91,68,44,4
Amanda Somma,4580169,25-01-2005,2,71,8,76,11,81,84,83,77,66,51,48,29,3,7,80,57,25,99,63,22
Gilbert Lopez,1822906,07-04-2001,2,63,4,31,89,12,65,12,43,62,26,83,49,41,19,41,33,24,79,54,30,70,82
Jose Johnson,9222922,02-11-2001,1,28,64,42,2,0,48,28,46,78,18,33,25,32,30,100,61
Mildred Martinez,5926720,01-01-2003,1,52,59,68,38,71,45,15,83,86,60
Paul Ware,4511022,25-07-2005,2,17,31,2,21,39,25,90,11,37,94,42,95,89,37
Geraldine Sain,9378039,20-03-2004,2,23,5,17,44,59,19,23,15,80,89,95,7,45,59,68,99,85,47,14,41,87,37,4,21,26
Richard Cannon,5218823,16-05-2000,1,52,24,77,3,99,57,53,76,1,33,2,93,33,69,54
Belinda Chatman,8434560,31-08-2003,2,90,75,94,5,23,56,84,4,21,17,93,39,15,3,64,53,45,41,79,95,55,24,35,38,80
Paul Miller,3843213,29-07-2002,2,60,75,66,3,31,24,89,52,3,92,84,20,39,40,45,82,78,39,47,0,16,94,48,34
Shanna Fleenor,5125651,13-08-2002,1,65,60,8,47,62
Jeanne Valentine,4519459,15-02-2004,1,100,7,83,44,26,16
Gustavo Contreras,5943214,05-02-2002,1,31,8,87,63,92,57,1,76,94,35,49,76,7,92,26,59,15,1,50,81,66,64,71,90,99
Marquita Jimenez,1543794,19-07-2000,2,13,92,94,26,34,50,92,2,15,13,71,56,21,44,46,30
Johnny Powell,6292958,18-10-2004,2,22,67,44,76,94
Jean Finch,8916054,10-07-2000,1,96,66,70,71,65,98,27,41,39,53,58,13,50
Ruthie Vandyke,5422139,03-01-2000,2,100,52,100,22,16,48
Jennifer Thomas,8209107,04-09-2000,1,77,28,88,65,83,17,90,63,98,33,18
Derrick Liddle,6931598,11-12-2004,1,44,43,69,39,100,26,28,89,36,11,73,41,15,53,55,47,84,70,77,70,41,22,17,23
Ruth Lee,4543269,04-06-2003,2,5,23,5,33,27,1,55,28,64,52,94,3,31,92,4,36,10,69,66,22
Helen Ericsson,4248092,28-02-2001,2,98,61,69,58,45,15,65,5,88,43,62,53,62,44,5,48,54,55,86,13,6,49,92
Jodie Zamora,8765851,11-04-2003,1,54,33,83,33,31,26,36,47,47,6,7,41,80,78,41,21,84
John Tuohy,2042464,23-04-2002,2,11,5,26,93,6,23,72,0,2,19,96,96,68,31,29,95,52,91,48
Johnny Slate,9707031,27-01-2003,1,50,3,70,39,16,18,21,48,33,40,66,75,75,11,50,19,57,42,52,57,85
Stanley Bray,1000818,27-11-2000,2,55,12,97,73,61,61,73,94
Ralph Sorrels,1222356,01-02-2004,1,60,60,6,16,18,55,98,42,1,78,42,16,60
Donna Heinecke,2717083,04-12-2004,2,39,62,27,20,43,53,35,40,0,10,83,54,37,24,58,53
Alexander Wright,9209242,16-06-2000,1,73,52,23,79,34,92,10,65,50,13,2,67,18,75
Lucienne Stevenson,2756618,30-01-2000,2,55,87,33,92,72,23,47,49,99,79,56,90,2,34,13,11,40,12,49,31,91,48,5,36,17
Merle Chapman,4367445,13-07-2000,2,11,43,75,25,11,23,23,71,60,12,15,5,11,35,15,4,38,71,15,94,64,32,83
Sandra Campbell,2825297,26-05-2002,2,67,10,41,22,16,40,2,59,38
David Anyan,3385775,05-11-2003,1,93,15,11,85,29,15,67,52,54,74,93,36,5
Barbara Petch,6956035,29-07-2005,1,100,44,95,98,29,45,97,21,69,46,61,92,75,8,77,83,21,20,45,32,8,20
Cory Lujan,3331919,26-07-2002,2,54,56,0,35,21,19,66
Randy Adkins,2430763,05-11-2004,2,66,1,87,85,11
Charles Shevlin,9640747,16-03-2004,2,28,86,75,92,2,54
Michael Mccormick,6236253,03-01-2005,2,52,66,39,19,100,61,15,6,0,50,81,94,65,76
Stephen Koehn,5608039,15-04-2005,1,71,8,90,49,72,59,81,56,27,56,65,49,77,12,67,18,29,26,78,45,83,52,70,58,87
Jocelyn Conley,7430387,02-06-2001,2,16,7,60,39,15,18,12,93,100,78,85,4
Timothy Meadows,7424193,15-08-2003,1,93,47,85,77,29,26,82,89,24,86,98,96,5,4,20,100
Melissa Paige,8723977,28-10-2003,2,44,66,44,33,100,81,54,29,79,64,75,63,99,54,54,87,50,9,57,87
Pam Summers,4376903,06-07-2001,1,79,62,7,22,80,91,32,2,93,28
Brenda Preister,5843748,20-11-2004,1,33,47,61,44,59
Michael Parham,2349468,05-06-2002,1,57,33,22,78,9,41,84,12
Ned Whaley,5824884,20-10-2004,1,34,28,66,93,55,81,55,55,32,22,76,32,56,77,46,94,94,17,72,41,17
Ray Kramer,9354292,17-03-2005,1,90,55,26,71,92,19,66,89,63,94,71,85,38,6,65,99,38,13,8,30,81,48,57,87,21
Crystal Armijo,5760114,18-05-2001,2,13,76,69,35,94,75,5,36,90,57,36,12,71,56,59,69,39,82,59,97,55
Warren Burris,2368106,24-01-2002,2,91,50,68,41,29,50,67,7,88,57,47,79,27,43,83
Stewart Beard,7035341,14-02-2003,1,59,76,97,7,49,92,52,2,46,0,98,91,25,49,70,80,30,11,23,81
Steven Scianna,9976440,02-12-2004,2,41,85,28,87,50,47,7,85,98,44,41,92,69,67,68,3,27,41,40,34
Daniel Callahan,1208523,01-05-2000,1,1,100,12,62,80,13,61,81,29,34,35,35,84,30,1,84,16,23
Irene Mccall,3863849,03-07-2004,2,76,5,81,24,99,12,7,98,85,5,85,6
Marvin Ybarra,9257409,18-04-2003,1,7,26,51,88,96,29,2,19,55,30,72,42,5
Jeffery Esquibel,3800069,26-06-2003,1,59,54,80,30,80,86,1
Susan Thompson,9093754,23-02-2003,1,6,93,77,8,46,55,64,72,88,18
Kristina Berube,6886993,14-09-2005,2,37,37,81,11,71,42,10,94,79,39,87,25
Scott Butler,5254818,07-05-2000,1,14,27,13,33,68
Patricia Bragdon,5859588,25-04-2004,1,24,31,56,31,87
Ted Charland,8908539,08-02-2002,1,69,60,75,18,32,85,32,15,46,21,13,55,79,66,88,85,74,93,64,4
Rita Berry,5486603,08-04-2001,1,81,9,47,93,17,24,54,65,71,80,10,68,93,12,63,59,47,79,84,33,100,10,42
Thomas Sims,6523968,01-02-2001,2,13,51,13,66,76,78
Darren Jackson,2910490,29-06-2000,2,36,67,34,62,33,89,50,25,62,37,30,52,79,73,12,83,74,0,72,47,65
Paul Carskadon,9596563,22-11-2001,2,89,95,18,96,74,58,98
John Amaker,9253538,15-02-2003,1,100,89,72,55,15,96,46,25,51,52,92,42,19,48,64,52,72,98
Carl Toole,5214509,27-03-2002,1,25,81,78,49,7,75,4
James Hill,6029597,02-12-2003,1,82,74,29,38,23,57,63,10,14,3
Diane Charles,5259173,06-08-2002,1,7,66,21,56,28,26,84
Lora Merchant,3033903,28-11-2000,1,78,95,48,67,3,40,54,7,84,97
Trent Bailey,7546104,20-03-2004,2,57,58,21,93,68,20,67,39,64,67,46,20
Stephanie Benson,2024734,26-09-2004,2,1,57,66,91,73,64,26,23,74
Martin Hull,4978623,05-08-2004,1,31,3,26,86,21,69,76,66,58,44
Carmen Crosby,7822242,20-08-2005,1,93,48,83,30,97
Karen Denning,3630694,24-11-2001,1,44,6,46,81,96,22,34,34,24,40,14,11,34,83,91,47,46,85
Oscar Bailey,9078431,27-04-2000,1,26,61,12,75,91,3,20,100,60,13,60,70,71,11,59,100
Abby Lipsky,3157973,31-11-2005,1,95,40,54,98,65,33,48,23,43,56,11,72,82,18,85,50,79,82,38,88,56,64,47,88,41
Elizabeth Perez,7869691,29-05-2001,2,93,35,35,29,20,75
Domingo Bach,6574591,18-12-2001,1,8,57,40,36,35,49,78,80,63,16,95,56,32,39,80,32,92
Bradley Mcdaniel,7637212,28-11-2005,1,39,38,81,96,23,100,17,40,15,90,51,57
Ann Sierra,7503728,17-09-2000,2,67,11,78,61,15,93,27,90,2,24,5,3,86,1,43,7,72,56,12,50
Fred Evans,7805442,29-01-2000,2,78,49,97,10,33,73
Laura Hutton,9690644,14-07-2001,1,99,32,46,42,45,32,48,14
Toby Bedford,7514135,31-03-2000,1,80,3,6,22,41,56,80,2,22,67,65,72,73,29,27,16,96,20,71
Courtney Lockett,7604234,24-01-2005,2,96,85,51,13,17,90,2,83,22,96,16,45
Janet Crum,2087523,18-02-2003,2,51,70,75,14,17,19,81,34,62,36,96,98
Jackie Jeffcoat,7018692,18-04-2001,2,9,20,69,13,84,97,81,0,77,78,43,31,82
Nora Baker,3195156,27-02-2000,1,92,13,30,38,55,81,86,39,3,94,87,28,6,46,31,89,81,65,38,43
Bonnie Fernandez,2187816,19-05-2001,2,9,20,53,44,9,91,98,68,54,32,71,17,92,26,49,51,37,13,31,85,91
Elmer Braithwaite,1112052,28-11-2004,1,62,30,77,5,76,84,8,42,47,61,6,63
Amy Dye,8938586,10-03-2000,1,79,83,11,86,21,8,62,0,92,39,58,38,65
Linda Maretti,6060849,29-06-2002,2,57,21,46,30,5,51,50,24,1,98,98,67,78,27,94,77,67,98,17,54,77,54,21
Timmy Jett,6757861,25-01-2002,1,10,30,93,5,65,76,85
Jim Reagan,5800473,03-01-2000,1,69,18,58,78,76,95,59,19,7,45,57,43,80,46,55,33,74,36,73,50,10,58,79
Robert Mclaughlin,4458927,08-07-2005,1,7,28,5,27,32,54,35,48,64,47,16,94,26,85
Robyn Lewis,2232059,14-05-2000,2,71,33,69,45,71
Bill Petry,9512860,23-06-2002,2,51,55,12,6,81
Eleanor Davis,1883920,07-04-2005,1,38,17,93,58,83,10,97,38,27,6,65,58,41
Maureen Morin,8784702,22-06-2002,2,18,92,71,1,93,65,56,55,96,61,65,40,27,1,71
Margaret Moore,4782771,22-11-2003,2,2,1,33,50,48,0,78,97,1,50,21,52,67,61,98,96,26,90,5
Ryan Rieth,1255321,03-02-2000,1,47,34,5,78,84,52,21,23,88,83,79,63,17,73,58,88,38,69,16,40,47,83,83,36
Danielle Townsend,6428074,05-05-2001,1,68,19,71,98,76,86,16,19,2,50,57,21,33,54,88
Anne Rosario,1607199,11-09-2002,2,28,88,72,17,71,4,58,29,32,83,36
Roberto Kyung,8198854,11-12-2004,1,6,38,47,81,44,90,52,8
Gilbert Johnson,7264423,31-08-2002,1,42,1,61,6,55,89,41,8,77
Felipe Gibbs,7122674,04-08-2000,1,10,35,90,37,67,87,55,74,51,69,63,28,22,20,18,99,85,72,54,19,60,98,36,9
Maryann Boysen,8168544,13-12-2005,2,85,87,100,53,50
Perry Smith,8442245,25-10-2004,2,76,19,18,91,30,97,91,59,95,69,37,67,63,73,95,2,16,35,85,45,27,20,33,55
Pamela Kim,4663230,19-01-2005,1,61,87,0,52,76,93,42,92,75,28,97,90,6,15,53,99
Brian Walson,9573196,21-11-2003,1,97,80,84,97,50,19,3,31,62,90,89,23,54,48,95,86,51,18,52
Carol Squires,2372447,27-11-2001,2,74,16,15,52,73,17,27,83,6,16,65,63,36,40,13,44
Allen Schulz,5292250,14-05-2001,1,20,20,100,96,78,46,6,57,32,15,94,47,49,84
Elisabeth Stanton,1071000,27-03-2000,2,49,63,77,85,0,87,53,93,66,28
Dan Deming,3127657,26-12-2003,1,43,11,30,7,90,21,21,99,53
Kathleen Owen,7522097,18-04-2002,1,57,63,97,42,4,94,51,18,17,95,23,75,32,49,19,67,13,63,21,66,100,49
Marcus Roper,8309298,28-10-2003,2,36,100,67,62,69,4,38,88,67,41,79,46
Henry Stockdill,3145949,07-07-2001,2,10,96,11,77,82,88,13,21,62,3,81,72,28,82,41,86,61,91,65,85,8,100
Randall Dickens,2441280,14-10-2004,1,70,15,38,6,82,26,62,56,10,45,6,89,84,7,56,14,33,34,59,71,33,17,20
John Daniels,6563424,17-10-2004,2,81,13,31,60,5,72,53
Katelyn Battle,5491384,02-11-2000,2,22,5,91,44,63,61,18,73,20,17,70,15,62,66
Earl Delgiudice,1168904,21-12-2001,2,16,16,40,7,78,30,62,90,63,42,59,54,13
Pamela Wigington,9964632,30-01-2000,2,54,78,95,74,79,12,47,8
Andrea Haig,8130947,09-08-2001,1,95,64,84,18,1,51,98,76,13,97,70,56,46,70,44,85,13
Donald Scales,5007870,23-04-2003,2,99,64,71,74,79,61,89,2,87
Jane Aguiar,3445511,23-08-2003,1,82,14,4,81,83,29,25
Ralph Mccleary,2599568,27-01-2002,1,23,32,2,78,0,70,62,6,84
Patti Justice,7569706,21-07-2005,1,18,75,79,33,41,64,15,32,72,34,21,4,88,65,4
Robert Boeck,3034219,25-02-2004,1,11,95,3,97,93,39,73,9,6,22,36,49
Cheryl Jones,2125783,31-01-2003,2,14,14,86,0,26,32,55,65,73,51,83,74,16,95,20
Aaron Delrio,2763736,09-01-2001,2,0,13,27,73,55,93,75,4,36,85,69,74,53,100,5
Diane Grant,8779602,26-07-2003,1,78,45,80,13,83,29,26,71,24,34,24,57
Walter Bevan,6348107,01-09-2004,1,73,22,22,2,44,88,98,79,30,61,48,64,31,10,82,57,45,29,3,50,69,44,40,56,83
Patricia Josey,5012826,16-04-2005,2,65,70,92,89,28,62,91,1,78,87,2,33,79
Mary Winn,1066881,02-03-2000,1,17,33,23,87,58,69,64,100
William Murillo,5143377,02-02-2000,1,66,31,85,30,59
Marilyn Basquez,7720591,06-07-2002,1,71,100,45,40,16,56
Karla Kruger,9512913,02-06-2002,1,87,22,70,1,24,61,84,42,8,74,8,55
Marcia Chalifoux,3970339,16-05-2004,2,71,0,34,76,14,93,95,34,100,17,2,18,57,14,73,11
Daniel Gentery,6280174,03-07-2001,1,12,80,96,35,56,45,86,77,87,73
Steven Hines,8497172,11-10-2003,2,38,10,46,99,41,16,45,73,36,47,67,9,100,91,33,18,51,32,51,93,100,70
Martha Harris,7820379,18-09-2004,1,1,59,34,76,75,43,2,62,6,35,58,12,46,55,83,98,94,74,9,32
Hazel Lopez,9975720,21-02-2001,1,8,14,18,51,65,87,30,49,49,57,13,44,86,8,8,73,82,96,26,50,80,3,100,34
Felix Glazier,9523551,18-06-2000,1,54,41,65,49,52,29,1,90,77,82,96,23,39
Edward Edwards,5316469,02-03-2000,2,94,66,6,58,43,55,43,73,21,2,32,9,51,98,17,24,27,67,79
Josephine Roberts,2825683,04-09-2000,2,40,43,71,59,13,39
George Scoby,5346641,30-10-2000,1,71,92,93,72,12,80,47,59,40,80,65,98,72,66,58,3,82,89,27,60,89,35,33
Mary Schutt,4732601,30-07-2004,1,6,24,46,34,94,87,27,84,56,44,4,5,88
Brett Quintanilla,4345414,09-07-2000,2,17,31,83,61,79,53
Antonio Stice,3177700,30-08-2001,2,42,89,70,79,13,40,16,83,98,14
Gregory Ellington,3717268,20-12-2003,2,2,27,42,34,50,74,13,54,23,7,15,31,7,12,29,95,86,1,5,35,26,35
James Bumgarner,8358505,30-01-2003,2,38,26,29,63,45,96,58,67,82,20,91,28,13,60,23,72
Lorrie Hunter,7463879,08-07-2003,1,17,26,47,0,78,61,35,87,11,57,92,20,37,66,23,67,0
Lavonia Mcmullen,3159111,13-04-2002,1,83,97,29,89,97,44,36,79,24,90,87,2,20,43,54,26,59,28,100
Lorine Butler,5605332,01-03-2004,1,54,61,15,79,54,66,69,93,69,16,55,59,82,13,36,68,84,2,91,74,52,63
Jennifer Gillins,6827434,06-06-2002,1,100,4,17,46,58,7,69,4,38,11,44,98,70,22,30,73,10,3,37,33,87,33,97
Delma Kaneta,8982108,06-03-2003,1,67,45,5,40,30,35,25,97,70,49,97,16,74,100,17,19,56,87,51,6
Cheryl Hoskinson,7236208,02-02-2002,2,21,74,25,44,83,35,12,25,63,17,64,88,25,55
Ivan Simpson,5233763,12-12-2000,1,70,27,60,85,89,17,78,54,78,4,93
William Kim,1236733,01-12-2000,2,68,32,72,27,63,63,84,26,55,60,82,39,28,5,46
Patricia Green,9357996,04-07-2005,1,3,100,11,56,72,67,88,11,88,45,36,4,58
Daniel Mabery,2664561,14-06-2004,1,64,21,84,51,1,11,64
